Wellington-mean,Wellington-bonds,Enrol-wellington,GDP,HouseValue,Population,Cost-changing,
243,27384,37770.83333,7.354166667,?,456085.7143,-14,
257,27319,37770.83333,7.354166667,?,456085.7143,14,
257,27727,37770.83333,7.354166667,?,456085.7143,0,
243,27979,37770.83333,7.354166667,?,456085.7143,-14,
248,28157,37770.83333,7.354166667,?,456085.7143,5,
263,28316,37770.83333,7.354166667,?,456085.7143,15,
258,28137,37770.83333,7.354166667,?,456085.7143,-5,
256,27929,37770.83333,7.354166667,?,456085.7143,-2,
269,28091,37770.83333,8.658333333,?,459378.5714,13,
286,28467,37770.83333,8.658333333,?,459378.5714,17,
280,28872,37770.83333,8.658333333,?,459378.5714,-6,
231,29410,37770.83333,8.658333333,?,459378.5714,-49,
266,29576,37770.83333,8.658333333,?,459378.5714,35,
264,29862,37770.83333,8.658333333,?,459378.5714,-2,
267,29730,37770.83333,8.658333333,?,459378.5714,3,
274,29889,37770.83333,8.658333333,?,459378.5714,7,
268,30012,37770.83333,8.658333333,?,459378.5714,-6,
269,30061,37770.83333,8.658333333,?,459378.5714,1,
271,29955,37770.83333,8.658333333,?,459378.5714,2,
270,29757,37770.83333,8.658333333,?,459378.5714,-1,
280,29700,37770.83333,9.558333333,?,462671.4286,10,
295,29821,37770.83333,9.558333333,?,462671.4286,15,
291,30081,37770.83333,9.558333333,?,462671.4286,-4,
278,30286,37770.83333,9.558333333,?,462671.4286,-13,
240,30977,37770.83333,9.558333333,?,462671.4286,-38,
277,31427,37770.83333,9.558333333,?,462671.4286,37,
278,31267,37770.83333,9.558333333,?,462671.4286,1,
276,31433,37770.83333,9.558333333,?,462671.4286,-2,
279,31715,37770.83333,9.558333333,?,462671.4286,3,
277,31800,37770.83333,9.558333333,?,462671.4286,-2,
284,31253,37770.83333,9.558333333,?,462671.4286,7,
280,31032,37770.83333,9.558333333,?,462671.4286,-4,
293,31119,38858.33333,9.3,?,466300,13,
319,31299,38858.33333,9.3,?,466300,26,
306,31491,38858.33333,9.3,?,466300,-13,
298,31735,38858.33333,9.3,?,466300,-8,
294,31792,38858.33333,9.3,?,466300,-4,
245,32733,38858.33333,9.3,?,466300,-49,
290,32706,38858.33333,9.3,?,466300,45,
295,32949,38858.33333,9.3,?,466300,5,
305,32632,38858.33333,9.3,?,466300,10,
296,32578,38858.33333,9.3,?,466300,-9,
303,32671,38858.33333,9.3,?,466300,7,
307,31698,38858.33333,9.3,?,466300,4,
312,32073,39108.33333,11.44166667,?,469300,5,
344,31877,39108.33333,11.44166667,?,469300,32,
340,31920,39108.33333,11.44166667,?,469300,-4,
319,32057,39108.33333,11.44166667,?,469300,-21,
314,32200,39108.33333,11.44166667,?,469300,-5,
324,32252,39108.33333,11.44166667,?,469300,10,
317,33033,39108.33333,11.44166667,?,469300,-7,
294,33540,39108.33333,11.44166667,?,469300,-23,
317,33548,39108.33333,11.44166667,?,469300,23,
321,33682,39108.33333,11.44166667,?,469300,4,
338,33679,39108.33333,11.44166667,?,469300,17,
338,33601,39108.33333,11.44166667,?,469300,0,
341,33399,39316.66667,11.08333333,?,471800,3,
375,33153,39316.66667,11.08333333,?,471800,34,
364,33588,39316.66667,11.08333333,?,471800,-11,
350,34123,39316.66667,11.08333333,?,471800,-14,
295,34680,39316.66667,11.08333333,?,471800,-55,
344,35067,39316.66667,11.08333333,?,471800,49,
350,35143,39316.66667,11.08333333,?,471800,6,
339,35227,39316.66667,11.08333333,?,471800,-11,
336,35544,39316.66667,11.08333333,?,471800,-3,
339,35681,39316.66667,11.08333333,?,471800,3,
347,35660,39316.66667,11.08333333,?,471800,8,
354,35542,39316.66667,11.08333333,?,471800,7,
346,35379,39633.33333,10.10833333,?,475600,-8,
364,35256,39633.33333,10.10833333,?,475600,18,
362,36278,39633.33333,10.10833333,?,475600,-2,
353,36454,39633.33333,10.10833333,?,475600,-9,
367,37214,39633.33333,10.10833333,?,475600,14,
347,37382,39633.33333,10.10833333,?,475600,-20,
343,37440,39633.33333,10.10833333,?,475600,-4,
335,37768,39633.33333,10.10833333,?,475600,-8,
351,37645,39633.33333,10.10833333,?,475600,16,
345,37725,39633.33333,10.10833333,?,475600,-6,
348,37318,39633.33333,10.10833333,?,475600,3,
361,37004,39633.33333,10.10833333,?,475600,13,
363,36866,39950,12.21666667,?,479400,2,
396,36301,39950,12.21666667,?,479400,33,
362,37733,39950,12.21666667,?,479400,-34,
375,37794,39950,12.21666667,?,479400,13,
366,37901,39950,12.21666667,?,479400,-9,
351,37977,39950,12.21666667,?,479400,-15,
350,38022,39950,12.21666667,?,479400,-1,
358,38419,39950,12.21666667,?,479400,8,
355,38754,39950,12.21666667,?,479400,-3,
348,38969,39950,12.21666667,?,479400,-7,
374,39097,39950,12.21666667,?,479400,26,
364,38641,39950,12.21666667,?,479400,-10,
