"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
2017-03-01,139348,23258,47266,3133,10843,17846,2948,377542,4539,11011,18963,6110,7990,2558,34672,45145,1749
2017-04-01,139518,23257,47231,3153,10792,17912,2914,377932,4513,10986,19021,6102,8011,2578,34670,45331,1775
2017-05-01,141243,23487,48024,3168,10885,17916,2929,382596,4597,11102,19386,6211,8083,2609,35120,45818,1823
2017-06-01,141187,23424,48137,3178,10884,17936,2939,382680,4597,11083,19523,6183,8052,2592,35023,45890,1826
2017-07-01,141219,23416,47844,3164,10847,17840,2918,381857,4595,11020,19603,6148,8023,2585,34898,45688,1809
2017-08-01,141717,23443,48207,3186,10830,17841,2931,383403,4610,11137,19762,6187,8024,2615,35039,45807,1824
2017-09-01,142300,23509,48305,3180,10789,17993,2947,384842,4613,11118,20023,6188,8070,2630,35179,45912,1838
2017-10-01,143227,23723,48777,3161,10845,18085,2938,387444,4598,11172,20239,6240,8105,2634,35368,46228,1852
2017-11-01,143179,23621,48527,3156,10780,17996,2931,386304,4556,11110,20231,6228,8098,2623,35255,45929,1835
2017-12-01,142041,23379,48199,3129,10682,17713,2902,382984,4512,10987,20149,6165,8013,2601,34966,45476,1820
2018-01-01,142830,23460,48530,3120,10725,17709,2927,384166,4521,11036,19542,6184,8076,2608,35198,45630,1812
2018-02-01,142725,23525,48480,3133,10738,17839,2910,383714,4516,11077,19352,6259,8109,2603,35190,45175,1828
2018-03-01,143781,23687,48857,3141,10763,17907,2894,386899,4500,11093,19704,6339,8131,2602,35672,45731,1845
2018-04-01,144447,23722,49122,3141,10727,18011,2919,388494,4523,11092,19834,6362,8196,2616,35860,45839,1834
2018-05-01,143995,23614,48988,3112,10643,17935,2925,387207,4510,11037,19881,6304,8140,2618,35669,45760,1830
2018-06-01,144464,23625,49273,3141,10678,18022,2927,388584,4544,11063,20072,6275,8167,2628,35645,45976,1825
2018-07-01,145039,23708,49435,3163,10658,18080,2926,390282,4577,11143,20305,6300,8203,2631,35915,46115,1826
